Team 1 completed 3 tasks  in 285 minutes.
Team 2 completed 4 tasks  in 582 minutes.
Team 3 completed 3 tasks  in 471 minutes.
Team 4 completed 2 tasks  in 399 minutes.
Team 5 completed 1 tasks  in 126 minutes.
Team 6 completed 0 tasks  in 0 minutes.
Team 7 completed 0 tasks  in 0 minutes.
Team 8 completed 0 tasks  in 0 minutes.
Team 9 completed 0 tasks  in 0 minutes.
Team 10 completed 0 tasks  in 0 minutes.
Team 11 completed 0 tasks  in 0 minutes.
Team 12 completed 0 tasks  in 0 minutes.
Team 13 completed 0 tasks  in 0 minutes.
Team 14 completed 0 tasks  in 0 minutes.
Team 15 completed 0 tasks  in 0 minutes.
Team 16 completed 0 tasks  in 0 minutes.
Team 17 completed 0 tasks  in 0 minutes.
Team 18 completed 0 tasks  in 0 minutes.
Team 19 completed 0 tasks  in 0 minutes.
Team 20 completed 0 tasks  in 0 minutes.
Team 21 completed 0 tasks  in 0 minutes.
Team 22 completed 0 tasks  in 0 minutes.
Team 23 completed 0 tasks  in 0 minutes.
Team 24 completed 0 tasks  in 0 minutes.
Team 25 completed 0 tasks  in 0 minutes.
Team 26 completed 0 tasks  in 0 minutes.
Team 27 completed 0 tasks  in 0 minutes.
Team 28 completed 0 tasks  in 0 minutes.
Team 29 completed 0 tasks  in 0 minutes.
Team 30 completed 0 tasks  in 0 minutes.

